timestamp,heure,date,flag,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-05-26 12:11:14.701774,12:11:14,26/05/26,0,39.47,38.38,38.31,24.91,49.66,7.44,798.9,802.3,1012.69
2026-05-26 12:11:15.795962,12:11:15,26/05/26,0,38.93,38.29,37.55,25.11,49.41,7.53,798.1,807.5,1013.01
2026-05-26 12:11:16.589143,12:11:16,26/05/26,0,41.91,41.55,40.21,25.02,49.79,7.49,809.5,805.0,1012.39
2026-05-26 12:11:17.703818,12:11:17,26/05/26,0,37.76,36.95,36.45,24.83,50.05,7.55,801.3,790.4,1013.16
2026-05-26 12:11:18.674712,12:11:18,26/05/26,0,42.34,40.84,40.69,24.89,49.78,7.5,798.8,800.8,1012.7
2026-05-26 12:11:19.548003,12:11:19,26/05/26,0,44.14,42.94,43.18,24.8,49.86,7.52,796.3,806.2,1012.89
2026-05-26 12:11:20.628158,12:11:20,26/05/26,0,40.95,40.99,39.4,25.23,50.42,7.58,799.9,801.3,1012.91
2026-05-26 12:11:21.753887,12:11:21,26/05/26,0,41.16,40.26,39.9,25.06,49.7,7.39,793.3,794.6,1012.89
2026-05-26 12:11:22.740688,12:11:22,26/05/26,0,40.05,38.71,39.27,25.03,49.62,7.49,803.0,802.4,1012.72
2026-05-26 12:11:23.977453,12:11:23,26/05/26,0,43.17,42.23,42.08,24.53,49.8,7.49,805.8,793.0,1013.07
2026-05-26 12:11:24.659385,12:11:24,26/05/26,0,40.64,39.82,39.93,24.56,50.2,7.42,800.9,800.9,1013.01
2026-05-26 12:11:25.628619,12:11:25,26/05/26,0,43.24,41.74,42.77,24.86,50.12,7.49,796.3,795.6,1012.6
2026-05-26 12:11:26.754248,12:11:26,26/05/26,0,41.74,40.71,40.87,25.05,50.56,7.51,799.2,790.5,1012.65
2026-05-26 12:11:27.759760,12:11:27,26/05/26,0,45.54,44.78,43.35,25.13,50.11,7.42,792.5,790.9,1012.79
2026-05-26 12:11:28.812577,12:11:28,26/05/26,0,42.91,42.13,41.73,25.23,49.56,7.54,803.0,797.5,1013.27
2026-05-26 12:11:29.676968,12:11:29,26/05/26,0,45.23,44.31,43.25,25.09,49.84,7.47,789.0,805.4,1013.14
2026-05-26 12:11:30.774510,12:11:30,26/05/26,0,44.67,43.17,42.94,24.89,50.64,7.53,801.1,798.0,1012.85
2026-05-26 12:11:31.805270,12:11:31,26/05/26,0,45.53,44.85,44.14,24.84,50.82,7.56,807.5,798.9,1013.33
