timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-09 00:14:52.727021,00:14,06-09-26,7.488,115870.0,117676.0,31.5,52.8,67.6,0.748,0.714,752.2
2026-06-09 00:14:57.812788,00:14,06-09-26,7.958,115579.0,118267.0,31.7,52.9,66.9,0.751,0.718,751.7
2026-06-09 00:15:03.133175,00:15,06-09-26,8.218,115346.0,118067.0,31.6,52.7,67.4,0.761,0.725,751.7
2026-06-09 00:15:08.316110,00:15,06-09-26,8.252,115796.0,118161.0,31.5,52.8,67.1,0.752,0.719,752.5
2026-06-09 00:15:13.440683,00:15,06-09-26,7.91,115332.0,117910.0,31.5,53.1,67.1,0.753,0.718,751.6
2026-06-09 00:15:18.645756,00:15,06-09-26,7.577,115535.0,118240.0,31.7,52.6,67.1,0.759,0.717,751.9
2026-06-09 00:15:23.832312,00:15,06-09-26,8.466,116220.0,118199.0,31.8,52.9,67.1,0.748,0.711,752.2
2026-06-09 00:15:28.938819,00:15,06-09-26,8.228,115667.0,117841.0,31.7,53.0,67.3,0.757,0.719,751.8
2026-06-09 00:15:34.273210,00:15,06-09-26,8.341,115867.0,117954.0,31.8,52.7,67.4,0.749,0.714,751.7
2026-06-09 00:15:39.444416,00:15,06-09-26,8.35,115273.0,117901.0,31.5,52.7,67.1,0.754,0.716,751.9
2026-06-09 00:15:44.549325,00:15,06-09-26,8.589,115772.0,118192.0,31.4,52.6,67.2,0.751,0.715,751.9
2026-06-09 00:15:49.802207,00:15,06-09-26,8.525,115475.0,117545.0,31.8,52.9,67.6,0.752,0.715,751.8
2026-06-09 00:15:54.876553,00:15,06-09-26,9.055,115436.0,118118.0,31.9,52.7,67.3,0.754,0.708,752.1
2026-06-09 00:16:00.129201,00:15,06-09-26,8.762,115304.0,117326.0,31.6,52.9,67.9,0.755,0.713,751.9
